TaskVariableName,Tier,TaskName,TaskDuration,Frequency,MinNumPeopleNeeded,Importance,GenderReq,Window,TimePreferred,EarliestStart,DueBy,StartTime,StartTime2,StartTime3,StartTime4,StartTime5,StartTime6,StartTime7,ScheduledOccurance,OccursEveryNDays,SpawnSunday,SpawnMonday,SpawnTuesday,SpawnWensday,SpawnThursday,SpawnFriday,SpawnSaturday,AutoSchedule,TaskCost,Category,PreAssignedTo,AntiCoCounselorConcurrent,AntiSequential,AtLeastOncePerPerson
KSWAT1,1,KSWAT,4,1,2,,,,,,,7:00am,,,,,,,No,,No,Yes,Yes,Yes,Yes,Yes,Yes,True,,,,,,
KSWAT2,1,KSWAT,4,1,3,,,,,,,10:00am,,,,,,,No,,No,Yes,Yes,Yes,Yes,Yes,No,True,,,,,,
KSWAT3,1,KSWAT,4,1,3,,,,,,,2:45pm,,,,,,,No,,Maybe,Yes,Yes,No,Yes,Yes,No,True,,,,,,
PLAYTIME/OFF,1,PLAYTIME/OFF,1,5,4,,,Yes,,10:00am,5:30pm,10:00am,calc,calc,calc,calc,calc,,No,,No,Yes,Yes,Yes,Yes,Yes,No,True,,,,,,
DISH,2,DISH,1,3,6,,,,,,,7:45am,11:45am,5:30pm,,,,,No,,ChangeFreq,Yes,Yes,ChangeFreq,Yes,Yes,No,True,,,,,,
SERVE,2,SERVE,1,3,7,,,,,,,7:45am,11:45am,5:30pm,,,,,No,,ChangeFreq,Yes,Yes,ChangeFreq,Yes,Yes,No,True,,,,,,
CAMP STORE,1,CAMP STORE,1,3,4,,,,,,,2:45pm,3:45pm,4:45pm,,,,,No,,No,Yes,Yes,Yes,Yes,Yes,Change Freq & MinNumPeople,True,,,,,,
BALLOONS,3,BALLOONS,1,2,userInput,,,Yes,,10:00am,11:45am,,,,,,,,No,,No,Yes,Yes,Yes,Yes,No,No,True,,,,,,
FLAG DOWN,4,FLAG DOWN,1,1,unassigned_employees,,,,,,,,,,,,,,No,,Idk,Yes,Yes,Yes,Yes,Yes,No,True,,,,,,
PHONES,1,PHONES,1,userInput,1,,,,,,,userInput,userInput,userInput,userInput,userInput,userInput,,No,,NotDependent,NotDependent,NotDependent,NotDependent,NotDependent,NotDependent,NotDependent,True,,,,,,
DH,2,DH,1,3,unassigned_employees,,,,,,,7:45am,11:45am,5:30pm,,,,,No,,ChangeFreq,Yes,Yes,ChangeFreq,Yes,Yes,No,True,,,,,,
HALF STAFF,4,HALF STAFF,1,1,unassigned_employees,,,,,,,9:15am,,,,,,,No,,No,Yes,Yes,Yes,Yes,Yes,No,True,,,,,,
WATER RUN,1,WATER RUN,1,2,2,,,,,,,7:00am,1:45pm,,,,,,No,,ChangeFreq,Yes,Yes,Yes,Yes,Yes,Change Freq,True,,,,,,
SEE EAGLE,2,SEE EAGLE,userInput,userInput,userInput,,,,,,,userInput,userInput,userInput,userInput,,,,No,,Depends,Depends,Depends,Depends,Depends,Depends,Depends,True,,,,,,
