TaskVariableName,Tier,TaskName,TaskDuration,Frequency,MinNumPeopleNeeded,Importance,GenderSpecific,GenderReq,Window,TimePreferred,EarliestStart,DueBy,StartTime,StartTime2,StartTime3,StartTime4,StartTime5,StartTime6,StartTimeSpecial,ScheduledOccurance,OccursEveryNDays,SpawnSunday,SpawnMonday,SpawnTuesday,SpawnWensday,SpawnThursday,SpawnFriday,SpawnSaturday,WillSpawnTodayChosen,SpecialCircumstanceSpawn,CircumstanceSpawn,TaskCost,Category,PreAssignedTo
KSWAT1,1,KSWAT,4,1,2,,No,,,,,,7:00am,,,,,,,No,,No,Yes,Yes,Yes,Yes,Yes,Yes,auto,No,,,,
KSWAT2,1,KSWAT,4,1,3,,No,,,,,,10:00am,,,,,,,No,,No,Yes,Yes,Yes,Yes,Yes,No,auto,No,,,,
KSWAT3,1,KSWAT,4,1,3,,No,,,,,,2:45pm,,,,,,,No,,Maybe,Yes,Yes,No,Yes,Yes,No,auto,No,,,,
PLAYTIME/OFF,1,PLAYTIME/OFF,1,5,4,,No,,Yes,,10:00am,5:30pm,10:00am,calc,calc,calc,calc,calc,,No,,No,Yes,Yes,Yes,Yes,Yes,No,auto,No,,,,
DISH,2,DISH,1,3,6,,No,,,,,,7:45am,11:45am,5:30pm,,,,,No,,ChangeFreq,Yes,Yes,ChangeFreq,Yes,Yes,No,auto,No,,,,
SERVE,2,SERVE,1,3,7,,No,,,,,,7:45am,11:45am,5:30pm,,,,,No,,ChangeFreq,Yes,Yes,ChangeFreq,Yes,Yes,No,auto,No,,,,
CAMP STORE,1,CAMP STORE,1,3,4,,No,,,,,,2:45pm,3:45pm,4:45pm,,,,,No,,No,Yes,Yes,Yes,Yes,Yes,Change Freq & MinNumPeople,auto,No,,,,
BALLOONS,3,BALLOONS,1,2,userInput,,No,,Yes,,10:00am,11:45am,,,,,,,,No,,No,Yes,Yes,Yes,Yes,No,No,auto,No,,,,
FLAG DOWN,4,FLAG DOWN,1,1,unassigned_employees,,No,,,,,,,,,,,,,No,,Idk,Yes,Yes,Yes,Yes,Yes,No,auto,No,,,,
PHONES,1,PHONES,1,userInput,1,,No,,,,,,userInput,userInput,userInput,userInput,userInput,userInput,,No,,NotDependent,NotDependent,NotDependent,NotDependent,NotDependent,NotDependent,NotDependent,auto,No,,,,
DH,2,DH,1,3,unassigned_employees,,No,,,,,,7:45am,11:45am,5:30pm,,,,,No,,ChangeFreq,Yes,Yes,ChangeFreq,Yes,Yes,No,auto,No,,,,
HALF STAFF,4,HALF STAFF,1,1,unassigned_employees,,No,,,,,,9:15am,,,,,,,No,,No,Yes,Yes,Yes,Yes,Yes,No,auto,No,,,,
WATER RUN,1,WATER RUN,1,2,2,,No,,,,,,7:00am,1:45pm,,,,,,No,,ChangeFreq,Yes,Yes,Yes,Yes,Yes,Change Freq,auto,No,,,,
SEE EAGLE,2,SEE EAGLE,userInput,userInput,userInput,,No,,,,,,userInput,userInput,userInput,userInput,,,,No,,Depends,Depends,Depends,Depends,Depends,Depends,Depends,upToUser,No,,,,
SEE JESUS,2,SEE JESUS,1,userInput,1,,No,,Yes,,10:00am,5:30pm,10:00am,,,,,,,No,,No,Yes,Yes,Yes,Yes,Yes,No,auto,No,,,,
